week,player,mentions,sent_mean,sent_pos_share
20,Jayson Tatum,72,0.2869597222222222,0.4861111111111111
20,LeBron James,51,0.17434117647058825,0.4117647058823529
20,Luka Doncic,95,0.2654715789473684,0.45263157894736844
20,Mike Trout,75,0.18376133333333333,0.37333333333333335
20,Paige Bueckers,56,0.18753214285714284,0.4107142857142857
20,Paul Skenes,70,0.18058428571428572,0.42857142857142855
20,Roman Anthony,94,0.2214223404255319,0.425531914893617
20,Ronald Acuna,49,0.20610612244897958,0.4489795918367347
20,Shohei Ohtani,128,0.18858046875,0.3984375
20,Stephen Curry,34,0.24475882352941175,0.5
20,Victor Wembanyama,102,0.15693529411764706,0.39215686274509803
21,Bobby Witt,61,0.2006393442622951,0.4098360655737705
21,Caitlin Clark,71,0.20836760563380283,0.5070422535211268
21,Cooper Flagg,143,0.20810069930069933,0.46153846153846156
21,Dylan Harper,171,0.16693567251461988,0.4269005847953216
21,Jayson Tatum,72,0.18500694444444443,0.4166666666666667
21,LeBron James,60,0.18691333333333335,0.4166666666666667
21,Luka Doncic,130,0.21005846153846155,0.4461538461538462
21,Mike Trout,91,0.20165164835164837,0.43956043956043955
21,Paige Bueckers,84,0.2138142857142857,0.4642857142857143
21,Paul Skenes,71,0.2181154929577465,0.43661971830985913
21,Roman Anthony,88,0.2655,0.5227272727272727
21,Ronald Acuna,71,0.13763521126760564,0.30985915492957744
21,Shohei Ohtani,125,0.19242879999999998,0.456
21,Stephen Curry,38,0.2542342105263158,0.4473684210526316
21,Victor Wembanyama,107,0.2575710280373832,0.514018691588785
22,Bobby Witt,66,0.19764848484848485,0.4090909090909091
22,Caitlin Clark,71,0.14774084507042254,0.3380281690140845
22,Cooper Flagg,141,0.21590992907801418,0.45390070921985815
22,Dylan Harper,160,0.16841375,0.375
22,Jayson Tatum,91,0.19806923076923078,0.3956043956043956
22,LeBron James,66,0.23782575757575758,0.48484848484848486
22,Luka Doncic,126,0.17675396825396825,0.373015873015873
22,Mike Trout,92,0.18406413043478262,0.3804347826086957
22,Paige Bueckers,64,0.25806093750000003,0.5
22,Paul Skenes,97,0.12321030927835053,0.3402061855670103
22,Roman Anthony,99,0.16450202020202023,0.40404040404040403
22,Ronald Acuna,72,0.2023736111111111,0.4305555555555556
22,Shohei Ohtani,146,0.21659657534246576,0.4315068493150685
22,Stephen Curry,57,0.12250877192982457,0.3684210526315789
22,Victor Wembanyama,130,0.2613792307692308,0.5076923076923077
23,Bobby Witt,56,0.23900714285714283,0.48214285714285715
23,Caitlin Clark,72,0.12113333333333334,0.3194444444444444
23,Cooper Flagg,123,0.17868211382113822,0.4146341463414634
23,Dylan Harper,132,0.21151136363636364,0.44696969696969696
23,Jayson Tatum,66,0.16679242424242424,0.3787878787878788
23,LeBron James,64,0.19212656250000001,0.4375
23,Luka Doncic,98,0.12003367346938776,0.3877551020408163
23,Mike Trout,83,0.1944421686746988,0.4457831325301205
23,Paige Bueckers,54,0.18863333333333332,0.37037037037037035
23,Paul Skenes,76,0.18003947368421053,0.3815789473684211
23,Roman Anthony,68,0.21665441176470587,0.4411764705882353
23,Ronald Acuna,74,0.21290135135135135,0.4189189189189189
23,Shohei Ohtani,144,0.22758680555555555,0.4861111111111111
23,Stephen Curry,61,0.25025409836065576,0.4098360655737705
23,Victor Wembanyama,95,0.3099852631578947,0.5578947368421052
24,Bobby Witt,56,0.15995535714285714,0.4642857142857143
24,Caitlin Clark,59,0.18772881355932206,0.4067796610169492
